

"2020-03-04","1","0",
"2020-03-05","2","0",
"2020-03-06","3","0",
"2020-03-07","4","0",
"2020-03-08","5","0",
"2020-03-09","6","0",
"2020-03-10","7","0",
"2020-03-11","8","0",
"2020-03-12","9","0",
"2020-03-13","10","0",
"2020-03-14","11","0",
"2020-03-15","12","4",
"2020-03-16","13","4",
"2020-03-17","14","0",
"2020-03-18","15","0",
"2020-03-19","16","0",
"2020-03-20","17","0",
"2020-03-21","18","0",
"2020-03-22","19","0",
"2020-03-23","20","1",
"2020-03-24","21","0",
"2020-03-25","22","2",
"2020-03-26","23","1",
"2020-03-27","24","5",
"2020-03-28","25","10",
"2020-03-29","26","3",
"2020-03-30","27","8",
"2020-03-31","28","7",
"2020-04-01","29","9",
"2020-04-02","30","1",
"2020-04-03","31","2",
"2020-04-04","32","19",
"2020-04-05","33","22",
"2020-04-06","34","7",
"2020-04-07","35","4",
"2020-04-08","36","5",
"2020-04-09","37","2",
"2020-04-10","38","11",
"2020-04-11","39","4",
"2020-04-12","40","16",
"2020-04-13","41","21",
"2020-04-14","42","10",
"2020-04-15","43","33",
"2020-04-16","44","27",
"2020-04-17","45","21",
"2020-04-18","46","31",
"2020-04-19","47","11",
"2020-04-20","48","8",
"2020-04-21","49","13",
"2020-04-22","50","0",
"2020-04-23","51","18",
"2020-04-24","52","32",
"2020-04-25","53","24",
"2020-04-26","54","13",
"2020-04-27","55","14",
"2020-04-28","56","19",
"2020-04-29","57","9",
"2020-04-30","58","15",
"2020-05-01","59","9",
"2020-05-02","60","2",
"2020-05-03","61","30",
"2020-05-04","62","0",
"2020-05-05","63","5",
"2020-05-06","64","6",
"2020-05-07","65","30",
"2020-05-08","66","9",
"2020-05-09","67","11",
"2020-05-10","68","3",
"2020-05-11","69","1",
"2020-05-12","70","0",
"2020-05-13","71","0",
"2020-05-14","72","9",
"2020-05-15","73","3",
"2020-05-16","74","0",
"2020-05-17","75","3",
"2020-05-18","76","0",
"2020-05-19","77","0",
"2020-05-20","78","1",
"2020-05-21","79","0",
"2020-05-22","80","0",
"2020-05-23","81","0",
"2020-05-24","82","0",
"2020-05-25","83","1",
"2020-05-26","84","0",
"2020-05-27","85","0",
"2020-05-28","86","0",
"2020-05-29","87","0",
"2020-05-30","88","1",
"2020-05-31","89","0",
"2020-06-01","90","0",
"2020-06-02","91","1",
"2020-06-03","92","0",
"2020-06-04","93","0",
"2020-06-05","94","0",
"2020-06-06","95","0",
"2020-06-07","96","0",
"2020-06-08","97","0",
"2020-06-09","98","0",
"2020-06-10","99","0",
"2020-06-11","100","2",
"2020-06-12","101","1",
"2020-06-13","102","2",
"2020-06-14","103","0",
"2020-06-15","104","0",
"2020-06-16","105","2",
"2020-06-17","106","0",
"2020-06-18","107","0",
"2020-06-19","108","0",
"2020-06-20","109","0",
"2020-06-21","110","0",
"2020-06-22","111","0",
"2020-06-23","112","0",
"2020-06-24","113","2",
"2020-06-25","114","0",
"2020-06-26","115","0",
"2020-06-27","116","0",
"2020-06-28","117","0",
"2020-06-29","118","0",
"2020-06-30","119","0",
"2020-07-01","120","0",
"2020-07-02","121","0",
"2020-07-03","122","1",
"2020-07-04","123","0",
"2020-07-05","124","0",
"2020-07-06","125","0",
"2020-07-07","126","0",
"2020-07-08","127","1",
"2020-07-09","128","1",
"2020-07-10","129","3",
"2020-07-11","130","1",
"2020-07-12","131","1",
"2020-07-13","132","5",
"2020-07-14","133","7",
"2020-07-15","134","6",
"2020-07-16","135","11",
"2020-07-17","136","13",
"2020-07-18","137","17",
"2020-07-19","138","13",
"2020-07-20","139","2",
"2020-07-21","140","13",
"2020-07-22","141","35",
"2020-07-23","142","15",
"2020-07-24","143","14",
"2020-07-25","144","26",
"2020-07-26","145","29",
"2020-07-27","146","10",
"2020-07-28","147","39",
"2020-07-29","148","21",
"2020-07-30","149","18",
"2020-07-31","150","111",
"2020-08-01","151","0",
"2020-08-02","152","0",
"2020-08-03","153","0",
"2020-08-04","154","23",
"2020-08-05","155","30",
"2020-08-06","156","19",
"2020-08-07","157","30",
"2020-08-08","158","24",
"2020-08-09","159","26",
"2020-08-10","160","9",
"2020-08-11","161","32",
"2020-08-12","162","41",
"2020-08-13","163","25",
"2020-08-14","164","22",
"2020-08-15","165","11",
"2020-08-16","166","33",
"2020-08-17","167","17",
"2020-08-18","168","18",
"2020-08-19","169","32",
"2020-08-20","170","25",
"2020-08-21","171","23",
"2020-08-22","172","39",
"2020-08-23","173","30",
"2020-08-24","174","4",
"2020-08-25","175","33",
"2020-08-26","176","41",
"2020-08-27","177","0",
